,Job Title,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
10,"Big Data Engineer (Financial Services), Advisory","We
are the only professional services organisation who has a separate business
dedicated exclusively to the financial services marketplace. Join Financial
Services (FSO) and you will work with multi-disciplinary teams from around the
world to deliver a global perspective. Aligned to key industry groups including
asset management, banking and capital markets, insurance and private equity, we
provide integrated advisory, assurance, tax, and transaction services.

Your Key Responsibilities

Participation
in large-scale client engagements.
Contribution
towards, or even leading, the delivery of innovative and engaging big data
solutions.
Understanding
of business and technical requirements, provision of subject matter
expertise, and implementation of big data engineering techniques.
Conducting
of data discovery activities, performing root cause analysis, and making
recommendations for the remediation of data quality issues.
Putting
into practice good organizational and time management skills, with the
ability to prioritize and complete multiple complex projects under tight
deadlines.
The Opportunity

As
part of our Data and Analytics team of Financial Services Advisory practice you
will work with multi-disciplinary teams to support clients in a wide range of
big data initiatives aiming to generate and present new, useful and actionable
insights. You will have the opportunity to work and take responsibilities in
challenging engagements, gaining exposure to clients in various sectors both in
Singapore and in the APAC region.
Skills and Attributes for
Success
Leverage technology to
continually learn, improve service delivery and maintain our leading-edge
best practices
Strong presentation skills and
proficiency in the use of PowerPoint, Word and Excel
Good understanding of financial
services industry
Ideally, you’ll also have

Design
and implementation experience of data models in physical form in one (or
more) of the leading RDBMS platforms such as SQL Server, Oracle, IBM
DB2/Netezza, Teradata, etc.
Experience
with Business Intelligence or statistical analysis tools and techniques.
Strong
communication and business relationship skills to effectively explain
analysis, both verbally and in writing, to others and translate analysis
into a clear business plan.
Strong
time management and organizational skills to gather and make use of data
(both internal and external).
To Qualify for the role,
you must have
Understanding or even practical
experience of handling and manipulating semi-structured and unstructured
data.
Deep understanding of big data
technology, concepts, tools, features, functions and benefits of different
approaches available.
Ability to deploy, manage, and
administer Hadoop-based components.
Ability to design, build,
install, configure and support Hadoop-based applications.
Experience with one of Java, C#
or C++.
Hands-on experience with HiveQL.
Familiarity with data ingestion
tools such as Kafka, Flume and Sqoop.
Knowledge of hadoop related
workflow/scheduling tools such as Oozie.
Understanding of data modeling
(ER models) techniques.
Experience with investigating and
handling data quality issues.
Minimum 1-5 years hands-on
experience in two (2) or more of the above areas.
A Bachelor or Master’s degree in
computer science, Engineering, or other related fields.


What
we look for

Highly
motivated individuals with excellent problem-solving skills and the ability to
prioritize shifting workloads in a rapidly changing industry. An effective
communicator, you’ll be a confident team player that collaborates with people
from various teams while looking to develop your career in a dynamic
organization.

About EY

As a global leader in
assurance, tax, transaction and advisory services, we’re using the finance
products, expertise and systems we’ve developed to build a better working
world. That starts with a culture that believes in giving you the training,
opportunities and creative freedom to make things better. Whenever you join,
however long you stay, the exceptional EY experience lasts a lifetime. And with
a commitment to hiring and developing the most passionate people, we’ll make
our ambition to be the best employer by 2020 a reality.

What working at EY
offers

We offer a competitive
compensation package where you’ll be rewarded based on your performance and
recognized for the value you bring to our business. We also offer you:
Support, coaching and feedback
from some of the most engaging colleagues around
Opportunities to develop new
skills and progress your career
The freedom and flexibility to
handle your role in a way that’s right for you
If you can confidently
demonstrate that you meet the criteria above, please contact us as soon as
possible.

Join us in building a
better working world. Apply now.

Want to get to know us
better?

Visit ey.com/sg/careers

Become a fan on
Facebook: facebook.com/EYCareersSingapore

Follow us on
Instagram: instagram.com/EYSGCareers

Connect with us on
LinkedIn: bit.ly/EYLinked_Careers

Watch us on YouTube: youtube.com/ernstandyoungglobal",3.8,"EY
3.8",Singapore,"London, United Kingdom",10000+ employees,1989,Company - Private,Accounting,Accounting & Legal,$10+ billion (SGD),"Deloitte, KPMG, PwC"
11,Data Engineer,"My client, a leading player in the Asian market and a truly Data-Centric firm, is looking to bring in a Data Engineer to work closely with the CTO and the rest of the team on developing their platform for deployment. The successful candidate will have 5+ years of experience developing high-quality Java code as well as extensive experience working on a variety of Databases.
Due to the current situation only applicants already based in Singapore will be considered for this role*
Responsibilities
Design and develop the data infrastructure and systems so that they can be used to maximum effect.
Be proficient in high-quality Engineering principles
Be ready to use innovative techniques to try and improve the working processes of the Data Systems
Be able to engage with a wide variety of stakeholders on practices and the application of the Data Science work
Required Skills/Qualifications
5+ years experience developing top quality code, preferably in Java ( Might also be considered in Python or Scala)
5 + years of experience in transforming data from one format to another from various types of database
Good experience in designing and developing data pipelines
Good experience with various technologies such as Spark, Snowflake, Tableau, Superset, Kuberflow, and Jupyter
Good knowledge of Machine Learning
Excellent verbal and written communication skills
Please send your resume in WORD format by clicking the apply button below or contact Michael Rose on +65 6701 1525 for a confidential discussion. Please note that only short-listed candidates will be contacted. CEI Reg. Number R2091052 (Rose Michael Darren).",3.0,"VOLT
3.0",Singapore,"New York, NY",10000+ employees,1950,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (SGD),"TEKsystems, Kelly, Manpower"
12,Data Engineer,"Job Information

Industry
Financial Services

Location
Singapore

Work Experience
2-5 years

City
Singapore

State/Province
Central Singapore

Zip/Postal Code
048583

Job Description

Upskills is looking for a Data Engineer to build something great with us. As part of the Machine Learning team, you will work with both Data Scientist and Client to develop and own stable, scalable, and repeatable data-driven features. We're looking for a self-motivated engineer who has a passion for working with an event-based architecture heavily leveraging the AWS/GGC/Azure cloud data stack & tools. The data engineering team is core to driving and delivering the current and future data, analytics, and decisioning platforms across Upskills.

Here is what you'll be doing:

· Work with data scientist and product management to implement data-driven features/product

· Apply architecture and system design theories and principles, perform complex work in research, design and development of new or existing products, tools and processes required for the operation, maintenance and testing of products.

· Create data tools for analytics and data scientist team members that assist them in building and optimizing our product into an innovative industry leader.

· Be a key contributor in the engineering of distributed systems, frameworks, and design patterns of Data Science/Machine Learning

· Use Scala, Java or Python to utilize Hadoop/Spark to collect and analyse large-scale datasets in batch and real-time

· Build, monitor, and maintain data ETL pipelines

· Mentor internship/junior data engineers in principles and best practices
Share relevant knowledge and evangelize Data Engineering with Machine Learning teams

Requirements


Here is what we're looking for:

· Bachelor's degree in Computer Science, Engineering or a related field or equivalent work experience

· More than 2 years of advanced Python or Java development is necessary. Scala, Rust or Go experience is a plus.

· Experience working in the Hadoop ecosystem, using tools such as Hive, Spark, or Pig. Experience with Apache Kafka is a plus.

· Experience working in the containerization system, using platform such as Docker or Openshift

· Proven expertise in taking Machine Learning projects from conception to implementation

· Experience with event-driven architecture design patterns and practices

· Experience in database design and architecture principles, and strong SQL abilities

· Experience with the following a strong plus:

o AWS DynamoDB, Hive, Cassandra, Bigtable, or other big data stores

o Experience in custom ELT pipeline design, implementation and maintenance (Airflow or other similar tools)

· Agile development experience",3.1,"Upskills
3.1",Singapore,"Singapore, Singapore",1 to 50 employees,2011,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
13,Data Engineer,"ABOUT JANIO
Janio is a cross-border logistics platform that provides an integrated end-to-end logistics solution to merchants across Southeast Asia (SEA). At our core we operate as a smart logistics solutions provider, serving merchants and logistics partners and connecting industry players across the globe.

Through Janio, we strive to create a truly integrated network that brings together every key player to become the backbone supporting SEA’s growing e-commerce ecosystem. Looking ahead, our platform would look to incorporate elements of AI and machine learning to provide a suite of smart solutions for real-time tracking, route optimization, warehouse management and dynamic forecasting to truly become a data-intelligent platform.

THE ROLE
Janio Asia is looking for a Data Engineer to join our rapidly expanding team. We invite candidates with an entrepreneurial and motivated mindset, as well as a keen interest in combining logistics with new technologies, to apply.

This position reports directly to the Head of Business Intelligence. The Business Intelligence function provides data services, analytics, reporting and data science solutions to all internal verticals. We offer candidates opportunities to develop and grow professionally as valued team members in a dynamic and often cross-functional startup environment.

The successful candidate will:
Engage directly with key business leads to understand the business strategies and solution needs, drive and lead technical design discussions with development teams.
Be hands-on in technical solution design and development work. Designing, developing and scaling these big data technologies (Teradata, HANA, Vertica, Hadoop, Kafka, Spark, Cassandra and beyond) are a core part of your daily job.
Assemble large, complex data sets that meet functional / non-functional business requirements.
Identify, design, and implement internal process improvements: automating manual processes, optimizing data delivery, re-designing infrastructure for greater scalability, etc.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS ‘big data’ technologies.
Build analytics tools that utilize the data pipeline to provide actionable insights into customer acquisition, operational efficiency and other key business performance metrics.

THE REQUIREMENTS
Experience in designing and building dimensional data models to improve accessibility, efficiency and quality of data
Programming experience in building data pipelines and data analytics solutions, with in-depth understanding of data structures and algorithms
Database development experience with Relational or MPP/distributed systems such as Oracle/Teradata/Vertica/Hadoop
Proficient in writing Advanced SQLs and in performance tuning of SQLs. Experience with data science and machine learning tools/technologies is a plus
Programming experience in any of the following programming languages : C, C++, Java, Perl, Python
Demonstrate strong understanding of development processes
Strong analytical and communication skills
Driven to learn business processes, analyse and understand data",4.6,"Janio Technologies Ltd
4.6",Singapore,"Singapore, Singapore",51 to 200 employees,2018,Company - Private,Logistics & Supply Chain,Transportation & Logistics,Unknown / Non-Applicable,-1
14,Senior Data Engineer,"REPA Team – Senior Data Engineer.

Reporting to Portfolio Planning Manager, Google

Responsibilities (* indicates Essentials Duties):

The Senior Data Engineer is part of a team of data analysts and have overall responsibility for maintaining and directing the ongoing development of the data infrastructure, that serves as the foundation for JLL client’s global real estate portfolio planning function.

The Senior Data Engineer will oversee the following functions:
Design, create and maintain appropriate data architecture,
Design, and implement process improvements: automating manual processes, optimising data delivery, re-designing infrastructure for greater scalability.
Implement the infrastructure required for ETL data processes and the acquisition and transfer of real estate, financial and HR data using SQL and other technologies.
Work with multiple client stakeholders to assist with bugs, technical issues and support their data infrastructure needs.
Work with on-site team to obtain necessary information and ensure system accuracy.
Work with data and analytics experts to strive for greater functionality in our data systems.
Developing processes and systems to improve current operations, platform development and data analysis.
Create custom views, adhoc analysis, dashboards and report sets utilizing business intelligence and query tools.*
Validating and testing data used in all reporting.
Working with on-site management to design and execute analyses focused on specific problems or programs.
Must thrive in a fast-paced and dynamic environment.
Other duties as assigned.
Some travel may be required.
Knowledge, Skills, and Abilities:

Required
Bachelor’s degree in information technology, statistics or mathematics or related discipline or equivalent work experience.
Solid customer service skills.
Experience using Microsoft Excel and/or Google spreadsheets for report generation and data manipulation.
Experience using Microsoft PowerPoint and Microsoft Word to present findings, reports and analyses
Strong interpersonal and communication skills, both oral and written
Demonstrated team and collaboration skills.
Strong organizational skills.
Strong analytical, technical, problem-solving and conceptual skills.
3-5 years as a data engineer/technical analyst
Experience with data quality control and normalization.
Experience with Structured Query Language and database design concepts.
Strong attention to detail and quality.
Preferred
Experience with Financial Analysis.
Experience with ETL platforms and ETL workflow design and execution.
Knowledge of CAFM/IWMS systems.
Understanding of Facilities, Real Estate and Asset Management industry and practices.
JLL Privacy Notice

Jones Lang LaSalle (JLL), together with its subsidiaries and affiliates, is a leading global provider of real estate and investment management services. We take our responsibility to protect the personal information provided to us seriously. Generally the personal information we collect from you are for the purposes of processing in connection with JLL’s recruitment process. We endeavour to keep your personal information secure with appropriate level of security and keep for as long as we need it for legitimate business or legal reasons. We will then delete it safely and securely.

For more information about how JLL processes your personal data, please view our Candidate Privacy Statement.

For additional details please see our career site pages for each country.

For employees in the United States, please see a fully copy of our Equal Employment Opportunity and Affirmative Action policy here.

Jones Lang LaSalle (“JLL”) is an Equal Opportunity Employer and is committed to working with and providing reasonable accommodations to individuals with disabilities. If you need a reasonable accommodation because of a disability for any part of the employment process – including the online application and/or overall selection process – you may email us at Accommodation.Reques@am.jll.com. This email is only to request an accommodation. Please direct any other general recruiting inquiries to our Contact Us page > I want to work for JLL.",3.7,"Jones Lang LaSalle
3.7",Singapore,"Chicago, IL",10000+ employees,-1,Company - Public,Real Estate,Real Estate,$10+ billion (SGD),"CBRE, Cushman & Wakefield"
15,Data Engineer,"At Prudential, we understand that success comes from the talent and commitment of our people. Together, we have a shared vision in securing the future of our customers and our communities. We strive to build a business that you can shape, an inclusive workplace where everyone’s ideas are valued and a culture where we can thrive together. Our people stay connected and tuned in to what’s happening around us, keeping us ahead of the curve. While focused on the long-term, we look to the future to bring growth, development and benefit to everyone whose lives we touch.

Design and build ETL solutions for IFRS17 project. Participate in full SDLC process to support various types of testing and deployment. Provide production and maintenance support after project go live.

Job Profile Summary:

In this role, you will work with existing data analysts and subject matter experts in all parts of the insurance business to deploy complex analytics to enable business to make better decisions. As part of this dynamic role, you will work closely with business units and other IT teams to deliver leading edge predictive and prescriptive analytics to enable digital capabilities of Prudential Singapore.

Job Description:
Design and develop ETL jobs using SQL, SSIS, Azure, and big data technologies
Responsible for end to end data processing from source data ingestion, data modelling, data mapping and transformation, and data delivery to downstream consuming systems
Provide support for various types of testing, including SIT, UAT, ORT and other testing if necessary
Comply with PACS SDLC process, architectural standards, and security policies in all delivery work
Collaborate with relevant stakeholders (including business users, project team members, and cross functional teams) from all Prudential entities across the region to deliver approved solutions that meet the business requirements on time, on cost, and with quality
Deliver documentation artefacts per SDLC requirements, such as technical specs, data model and data dictionary, interface specs, data mapping specs, test cases and summary, deployment guide, production support guide, etc.
Who we are looking for:

Competent in 3 or more areas of the following technology:
Databases: RDBMS, SQL programming
ETL and Data Integration Tools: Azure Data Factory (ADF), Microsoft SQL Server Integration Service (SSIS), SAS Data Integration
Big Data: Hadoop (Hortonworks), Hive, Spark, Sqoop, etc
Programming and Scripting: Linux/Unix Shell Scripting, Java, Scala, Hive QL
BI/Dashboarding: SAS Visual Analytics, Qliksense
Working Experience
3-8 years in data engineering and modelling.
Hands on in managing data mapping, data quality and integrity, performance in data processing, etc
Experience in insurance domain (e.g. LifeAsia system) is an advantage
Experience in Agile software development
Education
Bachelor in Computer Science, Computer Engineering or equivalent
Personal Traits
Proactive with can-do attitude
Independent and self-motivated
Able to work under pressure to meet tight timeline
Able to provide regular updates",3.2,"Prudential plc
3.2",Singapore,"London, United Kingdom",10000+ employees,1848,Company - Public,Insurance Operators,Insurance,$10+ billion (SGD),-1
16,Data Engineer,"DANONE PLACE SINGAPORE

About the Role

For the Data Science team in Singapore, Specialized Nutrition division, and as a part of the Precision Nutrition D-Lab (R&I) we are looking for a Data Engineer: a pivotal role dedicated to supporting our team in the creation and management of systems for data coming from sources such as digital devices and ""omics"" platforms (i.e. metagenomics, metabolomics, etc.). You have strong data engineering skills combined with the ability to clearly communicate complex ideas to a non-specialist audience, and deliver high quality deliverables according to the agreed timelines. You will build and deliver data services and solutions in support of digital and scientific projects. Additionally, you are the advisor on the Data Architectures pertaining to digital and scientific projects

About the Job
Develops and maintains scalable data pipelines and builds out new API integrations to support continuing increases in data volume and complexity.
Collaborates with analytics and business teams to improve data models that feed business intelligence tools, increasing data accessibility and fostering data-driven decision making across the organization.
Work with stakeholders including the Executive, Product, Data and Design teams to assist with data-related technical issues and support their data infrastructure needs.
Implements processes and systems to monitor data quality, ensuring production data is always accurate and available for key stakeholders and business processes that depend on it.
Build the infrastructure required for optimal extraction, transformation, and loading of data from a wide variety of data sources using SQL and AWS 'big data' technologies.
Keep our data separated and secure across national boundaries through multiple data centers and AWS regions.
Writes unit/integration tests, contributes to engineering wiki, and documents work.
Performs data analysis required to troubleshoot data related issues and assist in the resolution of data issues.
Works closely with a team of frontend and backend engineers, product managers, and analysts.
Defines company data assets (data models), spark, parkSQL, and hiveSQL jobs to populate data models.
Designs data integrations, data quality framework and evaluates open source and vendor tools for data lineage.
Works closely with all business units and engineering teams to develop strategy for long term data platform architecture.
General Responsibilities
Coordinate the execution of user acceptance testing of data systems and processes.
Experience with the use of digital technologies for data acquisition in a healthcare, clinical or real-world evidence context strongly preferred.
Resolving technical problems as they arise and provide updates to Management Team.
Providing supervision and guidance to development teams, eg. External software vendors.
Continually researching current and emerging technologies and proposing changes where needed.
Informing stakeholders about any problems with the current technical solutions / data architectures being implemented and provide resolution strategy.
Work closely with cross-functional teams such as data science team, scientific researchers and project managers to execute data-centric projects, from ideation, requirement gathering, design and implementation, testing to closure.
Participate in the drafting and reviewing of SOPs, Work Instructions and other relevant guidelines and documentation for good data governance.
Continually monitor for opportunities to improve efficiency, effectiveness and data quality and implement changes as appropriate within functional level.
About You
Minimum B.A. or B.S. degree, preferably in Information Technology, Computer Science / Engineering or Science.
Experience in Medicine, Pharmacy, Nursing, Biological Sciences, or health care related data strongly preferred.
At least 5 years' experience of best practices and IT operations in an always-up, always-available data service
Experience with or knowledge of Agile Software Development methodologies
Experience in data management and database design and development within a medical or healthcare context is a strong plus.
Knowledge of working in a regulated environment and familiarity with PDPA, GDPR, ICH-GCP regulations a plus.
Advanced knowledge or working with the AWS Data Ecosystem.
Advanced working SQL knowledge and experience working with relational databases, query authoring (SQL) as well as working familiarity with a variety of databases.
Experience building and optimizing 'big data' data pipelines, architectures and data sets.
Experience with object-oriented/object function scripting languages: Python, Java, C++, Scala, etc.
Ability in managing and communicating data warehouse plans to internal clients
Experience designing, building, and maintaining data processing systems
About us

Danone is a global food company holding top positions in healthy food through its three businesses Essential Dairy and Plant-based products, Waters, and Specialised Nutrition. Its mission, bringing health through food to as many people as possible, embodies commitment to human progress and business success. This gives meaning to the work of our 100,000 Danoners worldwide on an everyday basis.

A healthy body needs healthy food. And healthy food needs a healthy planet. This is what our new signature One Planet One Health embodies.
For passionate people looking for autonomy and exciting career opportunities, Danone truly has something special inside!

#LI-DPS",3.7,"DANONE
3.7",Singapore,"Paris, France",10000+ employees,1919,Company - Public,Food & Drink Manufacturing,Manufacturing,$10+ billion (SGD),-1
17,Data Engineer,"At Prudential, we understand that success comes from the talent and commitment of our people. Together, we have a shared vision in securing the future of our customers and our communities. We strive to build a business that you can shape, an inclusive workplace where everyone’s ideas are valued and a culture where we can thrive together. Our people stay connected and tuned in to what’s happening around us, keeping us ahead of the curve. While focused on the long-term, we look to the future to bring growth, development and benefit to everyone whose lives we touch.

Design and build ETL solutions for IFRS17 project. Participate in full SDLC process to support various types of testing and deployment. Provide production and maintenance support after project go live.

Job Profile Summary:

In this role, you will work with existing data analysts and subject matter experts in all parts of the insurance business to deploy complex analytics to enable business to make better decisions. As part of this dynamic role, you will work closely with business units and other IT teams to deliver leading edge predictive and prescriptive analytics to enable digital capabilities of Prudential Singapore.

Job Description:
Design and develop ETL jobs using SQL, SSIS, Azure, and big data technologies
Responsible for end to end data processing from source data ingestion, data modelling, data mapping and transformation, and data delivery to downstream consuming systems
Provide support for various types of testing, including SIT, UAT, ORT and other testing if necessary
Comply with PACS SDLC process, architectural standards, and security policies in all delivery work
Collaborate with relevant stakeholders (including business users, project team members, and cross functional teams) from all Prudential entities across the region to deliver approved solutions that meet the business requirements on time, on cost, and with quality
Deliver documentation artefacts per SDLC requirements, such as technical specs, data model and data dictionary, interface specs, data mapping specs, test cases and summary, deployment guide, production support guide, etc.
Who we are looking for:

Competent in 3 or more areas of the following technology:
Databases: RDBMS, SQL programming
ETL and Data Integration Tools: Azure Data Factory (ADF), Microsoft SQL Server Integration Service (SSIS), SAS Data Integration
Big Data: Hadoop (Hortonworks), Hive, Spark, Sqoop, etc
Programming and Scripting: Linux/Unix Shell Scripting, Java, Scala, Hive QL
BI/Dashboarding: SAS Visual Analytics, Qliksense
Working Experience
3-8 years in data engineering and modelling.
Hands on in managing data mapping, data quality and integrity, performance in data processing, etc
Experience in insurance domain (e.g. LifeAsia system) is an advantage
Experience in Agile software development
Education
Bachelor in Computer Science, Computer Engineering or equivalent
Personal Traits
Proactive with can-do attitude
Independent and self-motivated
Able to work under pressure to meet tight timeline
Able to provide regular updates",3.4,"Prudential Assurance Singapore
3.4",Singapore,"Singapore, Singapore",501 to 1000 employees,1933,Subsidiary or Business Segment,Insurance Operators,Insurance,$5 to $10 billion (SGD),-1
18,Data Engineer,"Job Description
We are passionate about data. We collaborate to build elegant, effective, scalable and highly reliable solutions to empower predictive modelling in finance.
Cubist’s data services group is looking for a Data Engineer to join our dedicated team. Our group is responsible for the timely delivery of comprehensive and error-free data to some of the most demanding and successful systematic and discretionary Portfolio Managers in the world.
This exceptional individual will be a member of a small team of Data Engineers, Data Scientists, and Data Analysts who play a vital role in ensuring the smooth day-to-day implementation of a large research infrastructure, and the live production trading of billions of dollars of capital across global capital markets, including equities, futures, options and other financial instruments.
Job Responsibilities
Building processes and technology tools to deliver data to and support data for discretionary portfolio managers and other teams.
Data onboarding project management for discretionary portfolio managers.
Designing, developing, maintaining, and supporting datasets used firm wide, including Security Master, Risk Models, Pricing, and Corporate Actions.
Monitoring and enhancing the automated data collection and cleansing infrastructure.
Researching new technologies for improved data management and efficient data retrieval.
Desirable Candidates
Ph.D. or Masters in computer science, mathematics, physics, statistics, or other discipline involving rigorous fundamental and/or quantitative analysis techniques.
Ideal candidate will have at least 1 year of experience as an Analyst for a discretionary portfolio manager or in a similar role.
Experience working with large data sets, including classification, regression, and distribution analysis.
Experience applying statistical tests to large data sets.
Programming skills in SQL, TSQL, SQL Server, or PL-SQL.
Programming skills in Python and at least one of C#, C++, or Java.
Web/GUI development experience using Microsoft technologies is a plus.
Experience dealing with intraday, tick and order book data is a plus.
Strong problem solving skills.
Intellectual curiosity and a love of learning.
Attention to detail and a love of process.
Strong oral and written communication skills.",3.9,"Point72
3.9",Singapore,"Stamford, CT",1001 to 5000 employees,2014,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,-1
19,Data Engineer,"Singtel
We have a great opportunity for a talented and self-motivated Data Engineers to join NCS. At NCS, we seek to nurture talents in creating and developing innovative solutions. If you are passionate about new technologies and new ideas, NCS could be a place for you!

NCS is a leading information and communications technology (ICT) and communications engineering services provider across the Asia-Pacific region. We are headquartered in Singapore and a wholly owned subsidiary of the Singtel Group. We have in-depth domain knowledge and unique capabilities that create business value for customers. We offer a broad range of services, including consulting, systems development and integration, business process outsourcing, infrastructure management and solutions, and technology solutions.

NCS is looking for data engineers to operationalize the data integration and management process – to ingest data from numerous data sources and apply transformations for data quality and insights. The data engineer will work closely with the business users, project managers, technical teams like database engineers and source system data owners to develop data pipelines to automate data acquisition and cleansing, to sustain analytics and AI initiatives. The role requires the ability to translate business and technical requirements into data interfaces, data transformation jobs and design data models that powers self-service analytics or AI projects. To support this, you may also need to establish data management processes such as data governance, data cataloguing, security/privacy classification and advise our clients on the collection, storage and consumption of information in their organisations.

Responsibilities:
Design and implement relevant data models in the form of data marts stored in Operational Data Stores, Data Warehouses or Big Data platforms
Build data pipelines to bring information from source systems, harmonise and cleanse data to support analytics initiatives for core business metrics and performance trends.
Perform data profiling to understand data quality and advise practical measures to address such data issues through data transformation and data loading
Dive into company data to identify sources and features that will drive business objectives.
Work closely with project manager and technical leads to provide regular status reporting and support them to refine issues/problem statements and propose/evaluate relevant analytics solutions
Bring your experience and ideas to effective and innovative engineering, design and strategy
Work in interdisciplinary teams that combine technical, business and data science competencies that deliver work in waterfall or agile software development lifecycle methodologies
The range of accountability, responsibility and autonomy will depend on your experience and seniority, including:
Contributing to our internal networks and special interest groups
Mentoring to upskill peers and juniors
The Ideal Candidate:
Undergraduate or graduate degree in Computer science or equivalent
Possess good communications skills to understand our customers' core business objectives and build end-to-end data centric solutions to address them
Good critical thinking and problem-solving abilities
Prior experience building large scale enterprise data pipelines using commercial and/or open source data management tools from vendors such as Informatica, Talend, Microsoft, IBM or Oracle
Strong knowledge of data manipulation languages such as SQL necessary to build and maintain complex queries and data pipelines • Practical appreciation of data quality metrics and remediation strategies
Data modelling and architecting skills including strong foundation in data warehousing concepts, data normalisation, and dimensional data modelling such as OLAP
Experience with other aspects of data management such as data governance, metadata management, archival, data lifecycle management
Processing of semi-structured and unstructured data sets such as NoSQL, graph and Hadoop based data storage technologies such as MongoDB, Cassandra, HBase, Hortonworks/Cloudera, Elastic Search and Neo4j using Spark, Splunk or Apache Nifi for batch or streaming data
Large scale data loading experience moving enterprise or operational data from source systems to new applications or data analytics solutions
Experience in leveraging on cloud-based data analytics platform such as:
AWS serverless architecture in Lambda on AWS DynamoDB, EMR Redshit
Azure Data Factory or SQL Data Warehouse
GCP BigQuery/BigTable, Cloud Dataprep/Dataflow/Dataproc

Apply now »",3.3,"Singtel
3.3",Singapore,"Singapore, Singapore",10000+ employees,1879,Company - Public,"Cable, Internet & Telephone Providers",Telecommunications,$10+ billion (SGD),"StarHub, MobileOne, Telstra"
